"ticker","sector","trailingPE","sharesPercentSharesOut","regularMarketVolume","averageVolume10days","enterpriseToEbitda","earningsQuarterlyGrowth","longBusinessSummary","logo_url","profitMargins","priceToSalesTrailing12Months","payoutRatio","country","industry","marketCap","bookValue","trailingEps","dividendRate","priceToBook","beta"
"AEE","Utilities","23.79058","0.0164","867205","971950","12.704","0.358","Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. It operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. The company engages in the rate-regulated electric generation, transmission, and distribution activities; and rate-regulated natural gas distribution and transmission businesses. It primarily generates electricity through coal, nuclear, and natural gas, as well as renewable sources, such as hydroelectric, methane gas, and solar. The company serves residential, commercial, and industrial customers. As of September 28, 2020, it served approximately 2.4 million electric customers and approximately 900,000 natural gas customers. The company was founded in 1881 and is headquartered in St. Louis, Missouri.","https://logo.clearbit.com/ameren.com","0.15248","3.6179094","0.57310003","United States","Utilities—Regulated Electric","20097486848","33.294","3.419","2.06","2.4430828","0.29123"
"DHI","Consumer Cyclical","12.319812","0.0124","2409881","2750962","10.336","0.328","D.R. Horton, Inc. operates as a homebuilding company in East, Midwest, Southeast, South Central, Southwest, and West regions in the United States. It engages in the acquisition and development of land; and construction and sale of homes in 20 states and 51 markets in the United States under the names of D.R. Horton, America's Builder, Express Homes, Emerald Homes, and Freedom Homes. The company constructs and sells single-family detached homes; and attached homes, such as town homes, duplexes, and triplexes. It is also involved in the origination and sale of mortgages; and provision of title insurance policies, and examination and closing services, as well as engages in the residential lot development business. The company primarily serves homebuyers. D.R. Horton, Inc. was founded in 1978 and is based in Arlington, Texas.","https://logo.clearbit.com/drhorton.com","0.10818","1.3057048","0.1223","United States","Residential Construction","24742715392","30.382","5.522","0.7","2.2391548","1.661334"
"BWA","Consumer Cyclical","16.399815","0.0382","4482774","3386275","6.509","","BorgWarner Inc. provides solutions for combustion, hybrid, and electric vehicles worldwide. The company's Engine segment offers turbocharger and turbocharger actuators; eBoosters; and timing systems products, including timing chains, variable cam timing, crankshaft and camshaft sprockets, tensioners, guides and snubbers, front-wheel drive transmission chains, four-wheel drive chains, and hybrid power transmission chains. It also provides emissions systems, such as electric air pumps and exhaust gas recirculation (EGR) modules, EGR coolers and valves, glow plugs, and instant starting systems; thermal systems products comprising viscous fan drives, polymer fans, coolant pumps, cabin heaters, battery heaters, and battery charging; and gasoline ignition technologies. The company's Drivetrain segment offers friction and mechanical products that include dual and friction clutch modules, friction and separator plates, transmission bands, torque converter and one-way clutches, and torsional vibration dampers. It also provides electro-hydraulic solenoids, transmission solenoid modules, and dual clutch control modules; rear-wheel drive/all-wheel drive (AWD) transfer case systems, front wheel drive-AWD coupling systems, and cross-axle coupling systems; starters, alternators, and hybrid electric motors; and motor controllers, battery chargers, and uninterrupted power source systems. The company sells its products to original equipment manufacturers of light vehicles, which comprise passenger cars, sport-utility vehicles, vans, and light trucks; commercial vehicles, including medium-duty and heavy-duty trucks, and buses; and off-highway vehicles, such as agricultural and construction machinery, and marine applications, as well as to tier one vehicle systems suppliers and the aftermarket for light, commercial, and off-highway vehicles. The company was formerly known as Borg-Warner Automotive, Inc. BorgWarner Inc. was founded in 1987 and is headquartered in Auburn Hills, Michigan.","https://logo.clearbit.com/borgwarner.com","0.050819997","0.9893936","0.3148","United States","Auto Parts","8663130112","22.248","2.161","0.68","1.5929521","1.729729"
"JCI","Industrials","40.333652","0.0124","3806744","3995237","16.152","","Johnson Controls International plc operates as a diversified technology and multi industrial company worldwide. The company operates through Building Solutions North America, Building Solutions EMEA/LA, Building Solutions EMEA/LA, and Global Products segments. The company designs, sells, installs, and services heating, ventilating, and air conditioning systems, controls systems, integrated electronic security systems, and integrated fire detection and suppression systems for commercial, industrial, retail, small business, institutional, and governmental customers; and energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems to non-residential building and industrial applications. It also designs and produces heating and air conditioning for residential and commercial applications; and markets products and refrigeration systems to replacement and new construction market; and designs, manufactures, and sells fire protection and security products, including intrusion security, anti-theft devices, and access control and video management systems for commercial, industrial, retail, residential, small business, institutional, and governmental customers. The company was formerly known as Johnson Controls, Inc. and changed its name to Johnson Controls International plc in September 2016. Johnson Controls International plc was founded in 1885 and is headquartered in Cork, Ireland.","https://logo.clearbit.com/johnsoncontrols.com","0.03543","1.3906733","1.0722001","Ireland","Engineering & Construction","31480672256","23.93","1.049","1.04","1.7680736","1.215113"
"SO","Utilities","19.054008","0.0093","3584630","4009625","12.749","-0.319","The Southern Company, through its subsidiaries, engages in the generation, transmission, and distribution of electricity. It operates in four segments: Gas Distribution Operations, Gas Pipeline Investments, Wholesale Gas Services, and Gas Marketing Services. The company also constructs, acquires, owns, and manages power generation assets, including renewable energy facilities and sells electricity in the wholesale market; and distributes natural gas in Illinois, Georgia, Virginia, and Tennessee, as well as provides gas marketing services, wholesale gas services, and gas pipeline investments operations. It owns and/or operates 30 hydroelectric generating stations, 24 fossil fuel generating stations, 3 nuclear generating stations, 13 combined cycle/cogeneration stations, 42 solar facilities, 10 wind facilities, and 1 biomass facility; and constructs, operates, and maintains 75,585 miles of natural gas pipelines and 14 storage facilities with total capacity of 157 Bcf to provide natural gas to residential, commercial, and industrial customers. The company serves approximately 8 million electric and gas utility customers. It also provides products and services in the areas of energy efficiency, and utility infrastructure. In addition, the company offers digital wireless communications services with various communication options, including push to talk, cellular service, text messaging, wireless Internet access, and wireless data. The Southern Company was incorporated in 1945 and is headquartered in Atlanta, Georgia.","https://logo.clearbit.com/southerncompany.com","0.15754","2.9920342","0.8197","United States","Utilities—Regulated Electric","61477326848","26.199","3.055","2.56","2.2218406","0.382239"
"FLR","Industrials","","0.0428","1370630","1819112","-2.968","","Fluor Corporation, through its subsidiaries, provides engineering, procurement, construction, fabrication and modularization, operation, maintenance and asset integrity, and project management services worldwide. It operates through six segments: Energy & Chemicals; Mining & Industrial; Infrastructure & Power; Government; Diversified Services; and Other. The Energy & Chemicals segment offers a range of design, engineering, procurement, construction, fabrication, and project management services in the upstream, midstream, downstream, chemical, petrochemical, offshore and onshore oil and gas production, and liquefied natural gas and pipeline markets. The Mining & Industrial segment provides design, engineering, procurement, construction, and project management services to the mining and metals, life sciences, and advanced manufacturing and technologies sectors. The Infrastructure & Power segment offers design, engineering, procurement, construction, and project management services to the infrastructure sector. The Government segment provides engineering and construction services, logistics, and life-support services, as well as contingency operations support services to the defense sector. It also offers support services to the United States (U.S.) intelligence community, the U.S. Department of Energy and National Nuclear Security Administration, and the U.S. Department of Homeland Security. The Diversified Services segment provides asset maintenance and asset integrity services to the oil and gas, chemicals, life sciences, power, mining and metals, consumer products, and manufacturing industries; and staffing services. The Other segment researches, develops, licenses, and commercializes small modular nuclear reactor technology; and serves as a subcontractor for the construction of nitrocellulose manufacturing facility. The company also offers unionized management and construction services. Fluor Corporation was founded in 1912 and is headquartered in Irving, Texas.","https://logo.clearbit.com/fluor.com","-0.11995","0.10828227","","United States","Engineering & Construction","1552005632","7.768","-12.264","","1.42379","2.758963"
"MO","Consumer Defensive","","0.0064","12368732","8037587","7.997","-0.027","Altria Group, Inc., through its subsidiaries, manufactures and sells cigarettes, smokeless products, and wine in the United States. It offers cigarettes primarily under the Marlboro brand; cigars principally under the Black & Mild brand; and moist smokeless tobacco products under the Copenhagen, Skoal, Red Seal, and Husky brands, as well as provides on! oral nicotine pouches. The company also produces and sells varietal and blended table wines, and sparkling wines under the Chateau Ste. Michelle and 14 Hands names; owns Stag's Leap Wine Cellars, Conn Creek, Patz & Hall, and Erath wine brands; and imports and markets Antinori, Torres, and Villa Maria Estate wines, as well as Champagne Nicolas Feuillatte in the United States. In addition, it provides finance leasing services primarily in transportation, power generation, real estate, and manufacturing equipment industries. The company sells its tobacco products primarily to wholesalers, including distributors; and large retail organizations, such as chain stores. Altria Group, Inc. was founded in 1822 and is headquartered in Richmond, Virginia.","https://logo.clearbit.com/altria.com","-0.044970002","3.3716762","","United States","Tobacco","68519206912","3.061","-0.495","3.44","12.045082","0.552123"
"TMO","Healthcare","38.69772","0.0056","1306110","1445000","23.982","1.543","Thermo Fisher Scientific Inc. provides analytical and other instruments, laboratory equipment, software, consumables, reagents, instrument systems, chemicals, supplies, and services worldwide. The company's Life Sciences Solutions segment offers reagents, instruments, and consumables for biological and medical research, discovery and production of new drugs and vaccines, and diagnosis of diseases to pharmaceutical, biotechnology, agricultural, clinical, academic, and government markets. Its Analytical Instruments segment provides instruments, consumables, software, and services for use in laboratory, on production line, and in field for pharmaceutical, biotechnology, academic, government, environmental, and research and industrial markets, as well as clinical laboratories. The company's Specialty Diagnostics segment offers liquid, ready-to-use, and lyophilized immunodiagnostic reagent kits, as well as calibrators, controls, and calibration verification fluids; blood-test systems and antibody tests; dehydrated and prepared culture media, collection and transport systems, instrumentation, and consumables; cancer diagnosis and medical research products; human leukocyte antigen typing and testing for organ transplant market; and healthcare products. Its Laboratory Products and Services segment provides laboratory refrigerators and freezers, and ultralow-temperature freezers and cryopreservation storage tanks; temperature control, sample preparation and preservation, centrifugation, and biological safety cabinet products; water analysis instruments; laboratory plastics and chemicals; and pharma services. It has collaboration with WuXi Diagnostics and Mayo Clinic to develop antibodies tests; a strategic collaboration with SchrÃ¶dinger, Inc. to expand structure-based drug discovery to novel targets using Cryo-EM; and an agreement with Daiichi Sankyo to co-develop a companion diagnostic. The company was incorporated in 1956 and is headquartered in Waltham, Massachusetts.","https://logo.clearbit.com/thermofisher.com","0.17121","6.550533","0.069699995","United States","Diagnostics & Research","186670530560","80.364","12.194","0.88","5.8717837","0.985107"
"JBHT","Industrials","26.292715","0.0137","944911","979762","11.102","0.06","J.B. Hunt Transport Services, Inc., together with its subsidiaries, provides surface transportation and delivery services in the continental United States, Canada, and Mexico. It operates in four segments: Intermodal (JBI), Dedicated Contract Services (DCS), Integrated Capacity Solutions (ICS), and Truckload (JBT). The JBI segment offers intermodal freight solutions, including origin and destination pickup, and delivery services. It operates 96,743 pieces of company-owned trailing equipment; owns and maintains its own chassis fleet of 82,731 units; and manages a fleet of 4,989 company-owned tractors, 570 independent contractor trucks, and 6,376 company drivers. The DCS segment designs, develops, and executes supply-chain solutions that support various transportation networks. As of December 31, 2019, it operated 10,542 company-owned trucks, 505 customer-owned trucks, and 40 independent contractor trucks, as well as 20,860 owned pieces of trailing equipment and 7,258 customer-owned trailers. The ICS segment offers traditional freight brokerage and transportation logistics solutions; and flatbed, refrigerated, expedited, and less-than-truckload solutions, as well as various dry-van and intermodal solutions. It also provides an online multimodal marketplace; and single-source logistics management for customers that desire to outsource their transportation functions. This segment operates 37 remote sales offices or branches. The JBT segment offers full-load and dry-van freight services by utilizing tractors operating over roads and highways. As of December 31, 2019, it operated 845 company-owned tractors. The company also transports or arranges for the transportation of freight, including general merchandise, specialty consumer items, appliances, forest and paper products, food and beverages, building materials, soaps and cosmetics, automotive parts, agricultural products, electronics, and chemicals. J.B. Hunt Transport Services, Inc. was incorporated in 1961 and is headquartered in Lowell, Arkansas.","https://logo.clearbit.com/jbhunt.com","0.05313","1.3828676","0.2301","United States","Integrated Freight & Logistics","12928768000","23.538","4.653","1.08","5.1975527","0.995035"
"CLX","Consumer Defensive","28.360054","0.1086","1214443","1091575","19.993","0.286","The Clorox Company manufactures and markets consumer and professional products worldwide. It operates through four segments: Health and Wellness, Household, Lifestyle, and International. The company offers laundry additives, including bleach products under the Clorox brand, as well as Clorox 2 stain fighter and color booster; home care products primarily under the Clorox, Scentiva, Formula 409, Liquid-Plumr, Pine-Sol, S.O.S, and Tilex brands; naturally derived products under the Green Works brand; professional cleaning, disinfecting, and food service products under the CloroxPro, Clorox Healthcare, and Clorox Total 360 brands; professional food service products under the Hidden Valley brand; and vitamins, minerals, and supplement products under the RenewLife, Rainbow Light, Natural Vitality, NeoCell, and Stop Aging Now brands. It also provides grilling products under the Kingsford and Match Light brands; bags and wraps under the Glad brand; and cat litter products under the Fresh Step, Scoop Away, and Ever Clean brands. In addition, the company offers dressings and sauces primarily under the Hidden Valley brand; water-filtration systems and filters under the Brita brand; and natural personal care products under the Burt's Bees brand. Further, it markets its products under the Ayudin, Clorinda, and Poett brands. The company sells its products primarily through mass retailers, grocery outlets, warehouse clubs, dollar stores, home hardware centers, third-party and owned e-commerce channels, military stores, and distributors, as well as a direct sales force. The Clorox Company was founded in 1913 and is headquartered in Oakland, California.","https://logo.clearbit.com/thecloroxcompany.com","0.13971","3.9141922","0.5761","United States","Household & Personal Products","26307284992","7.195","7.36","4.44","29.010422","0.254274"
