"ticker","sector","trailingPE","sharesPercentSharesOut","regularMarketVolume","averageVolume10days","enterpriseToEbitda","earningsQuarterlyGrowth","longBusinessSummary","logo_url","profitMargins","priceToSalesTrailing12Months","payoutRatio","country","industry","marketCap","bookValue","trailingEps","dividendRate","priceToBook","beta"
"VFC","Consumer Cyclical","","0.0215","2535442","2440412","31.426","-0.604","V.F. Corporation engages in the design, production, procurement, marketing, and distribution of branded lifestyle apparel, footwear, and related products for men, women, and children in the Americas, Europe, and the Asia-Pacific. It operates through four segments: Outdoor, Active, and Work. The company offers outdoor, merino wool and other natural fibers-based, lifestyle, and casual apparel; equipment; accessories; outdoor lifestyle, performance-based, youth culture/action sports-inspired, and protective work footwear; handbags, luggage, backpacks, totes, and travel accessories; and work and work-inspired lifestyle apparel and footwear. It provides its products under the North Face, Timberland, Icebreaker, Smartwool, Altra, Vans, Kipling, Napapijri, Eastpak, JanSport, Eagle Creek, Dickies, Timberland PRO. The company sells its products primarily to specialty stores, department stores, national chains, and mass merchants, as well as sells through direct-to-consumer operations, including retail stores, concession retail stores, and e-commerce sites, and other digital platforms V.F. Corporation was founded in 1899 and is based in Greenwood Village, Colorado.","https://logo.clearbit.com/vfc.com","-0.00533","2.979851","","United States","Apparel Manufacturing","26648094720","7.567","-0.129","1.96","9.037928","0.973992"
"UNM","Financial Services","3.5512216","0.0383","5861928","2654762","3.079","-0.045","Unum Group, together with its subsidiaries, provides financial protection benefit solutions in the United States, the United Kingdom, Poland, and internationally. It operates through Unum US, Unum International, Colonial Life, and Closed Block segments. The company offers group long-term and short-term disability, group life, and accidental death and dismemberment products; supplemental and voluntary products, such as individual disability, voluntary benefits, and dental and vision products; and accident, sickness, disability, life, and cancer and critical illness products. It also provides group pension, individual life and corporate-owned life insurance, reinsurance pools and management operations, and other products. The company sells its products primarily to employers for the benefit of employees. Unum Group sells its products through field sales personnel, independent brokers, and consultants, as well as independent contractor agency sales force. The company was founded in 1848 and is based in Chattanooga, Tennessee.","https://logo.clearbit.com/unum.com","0.08","0.28303468","0.2446","United States","Insurance—Life","3374679296","53.498","4.666","1.14","0.3097312","1.693877"
"MYL","Healthcare","27.290077","0.089899994","4730056","3420262","5.55","","Mylan N.V., together with its subsidiaries, develops, licenses, manufactures, markets, and distributes generic, branded-generic, brand-name, and over-the-counter (OTC) pharmaceutical products in North America, Europe, and internationally. It offers active pharmaceutical ingredients and finished dosage forms; and antiretroviral medicines to treat HIV/AIDS. The company also provides prescription products, such as EpiPen Auto-Injector; Perforomist Inhalation Solution; Dymista; Creon; and Influvac, as well as YUPELRI, an inhalation solution for the maintenance treatment of patients with chronic obstructive pulmonary diseases. In addition, it markets OTC products, including Cold-EEZE, MidNite, Vivarin, Brufen, CB12, and EndWarts. The company offers its products to therapeutic areas, such as cardiovascular, CNS and anesthesia, dermatology, diabetes and metabolism, gastroenterology, immunology, infectious disease, oncology, respiratory and allergy, and women's health. Its customers include retail pharmacies, wholesalers and distributors, payers, and insurers and governments, as well as institutions, such as hospitals. Mylan N.V. has collaboration and license agreements with Pfizer Inc.; Momenta Pharmaceuticals, Inc.; Theravance Biopharma, Inc.; Biocon Ltd.; Fujifilm Kyowa Kirin Biologics Co. Ltd; and Revance Therapeutics, Inc. The company was founded in 1961 and is based in Hatfield, the United Kingdom.","https://logo.clearbit.com/mylan.com","0.023510002","0.6425945","0","United Kingdom","Drug Manufacturers—Specialty & Generic","7392342528","22.722","0.524","","0.629346","1.467181"
"AIG","Financial Services","","0.0182","8011877","6722437","3.937","","American International Group, Inc. provides insurance products for commercial, institutional, and individual customers in North America and internationally. The company's General Insurance segment offers general liability, environmental, commercial automobile liability, workers' compensation, excess casualty, and crisis management insurance products, as well as various risk-sharing and other customized structured programs; commercial, industrial, and energy-related property insurance; and aerospace, political risk, trade credit, portfolio solutions, surety, crop, and marine insurance. It also provides professional liability insurance products for a range of businesses and risks, including directors and officer's liability, mergers and acquisitions, fidelity, employment practices, fiduciary liability, cyber risk, kidnap and ransom, and errors and omissions insurance. In addition, this segment offers personal auto and property insurance, voluntary and sponsor-paid personal accident, and supplemental health products; extended warranty insurance products; and travel insurance products. Its Life and Retirement segment offers variable annuities, fixed index and fixed annuities, and retail mutual funds; group mutual funds, individual annuity and investment products, and financial planning and advisory services; and term life and universal life insurance. This segment also provides stable value wrap products, and structured settlement and pension risk transfer annuities; and corporate- and bank-owned life insurance and guaranteed investment contracts. This segment sells its products through independent marketing organizations, independent insurance agents, financial advisors, direct marketing, banks, wirehouses, and broker-dealers. The company's Legacy Portfolio segment offers legacy insurance products. American International Group, Inc. was founded in 1919 and is headquartered in New York, New York.","https://logo.clearbit.com/aig.com","-0.09454001","0.53590333","","United States","Insurance—Diversified","26041149440","71.682","-5.29","1.28","0.42172372","1.377275"
"CMA","Financial Services","11.578802","0.0324","1431240","1572087","","-0.277","Comerica Incorporated, through its subsidiaries, provides various financial products and services. It operates through three segments: Business Bank, Retail Bank, and Wealth Management. The Business Bank segment offers various products and services, including commercial loans and lines of credit, deposits, cash management, capital market products, international trade finance, letters of credit, foreign exchange management services, and loan syndication services for small and middle market businesses, multinational corporations, and governmental entities. The Retail Bank segment provides personal financial services, such as consumer lending, consumer deposit gathering, and mortgage loan origination. It also offers various consumer products that include deposit accounts, installment loans, credit cards, student loans, home equity lines of credit, and residential mortgage loans. The Wealth Management segment provides products and services comprising fiduciary, private banking, retirement, investment management and advisory, and investment banking and brokerage services. It also sells annuity products; and life, disability, and long-term care insurance products. The Finance segment engages in the securities portfolio, and asset and liability management activities. It operates in Texas, California, Michigan, Arizona and Florida, as well as in Canada and Mexico. The company was formerly known as DETROITBANK Corporation and changed its name to Comerica Incorporated in July 1982. Comerica Incorporated was founded in 1849 and is headquartered in Dallas, Texas.","https://logo.clearbit.com/comerica.com","0.21764","2.4173698","0.74660003","United States","Banks—Regional","5864539136","53.786","3.642","2.72","0.784033","1.799779"
"ANSS","Technology","67.094315","0.020399999","396636","433750","50.754","-0.12","ANSYS, Inc. develops and markets engineering simulation software and services worldwide. The company offers ANSYS Workbench, a framework upon which its engineering simulation technologies are built; multiphysics software to simulate the interactions between structures, heat transfer, fluids, and electronics in a unified engineering simulation environment; high-performance computing product suite, which delivers cross-physics parallel processing capabilities for simulation software; and structural analysis product suite that provides simulation tools for product design and optimization. It also provides fluids product suite that enables modeling of fluid flow and other related physical phenomena; and electromagnetics product suite that offers field simulation software for designing electronic and electromechanical products. In addition, the company offers power analysis and optimization software suite that manages the power budget, power delivery integrity, and power-induced noise in an electronic design; SCADE product suite, a solution for embedded software simulation, code production, and automated certification; system simulation capability for the design of automated products; and optical sensor and closed-loop, and real-time simulation, as well as safety-certified embedded software solutions. Further, it provides Discovery product family for use in the simulation of product design; Ansys Granta products to give access to material intelligence; and academic product suite with a portfolio of academic products based on associate, research, and teaching. The company serves engineers, designers, researchers, and students in the aerospace and defense, automotive, electronics, semiconductors, energy, materials and chemical processing, turbomachinery, consumer products, healthcare, and sports industries. ANSYS, Inc. was founded in 1970 and is headquartered in Canonsburg, Pennsylvania.","https://logo.clearbit.com/ansys.com","0.26167","17.376457","0","United States","Software—Application","26425647104","40.1","4.591","","7.681546","1.217319"
"LNC","Financial Services","29.575047","0.0546","2207353","1715837","7.801","","Lincoln National Corporation, through its subsidiaries, operates multiple insurance and retirement businesses in the United States. It operates through four segments: Annuities, Retirement Plan Services, Life Insurance, and Group Protection. The Annuities segment offers variable, fixed, and indexed variable annuities. The Retirement Plan Services segment provides employers with retirement plan products and services primarily in the defined contribution retirement plan marketplace. This segment offers individual and group variable annuities, group fixed annuities, and mutual fund-based programs; and a range of plan services, including plan recordkeeping, compliance testing, participant education, and trust and custodial services. The Life Insurance segment provides life insurance products, including term insurance, such as single and survivorship versions of universal life insurance; variable universal life insurance; indexed universal life insurance products; and critical illness and long-term care riders. The Group Protection segment offers group non-medical insurance products comprising short and long-term disability, statutory disability and paid family medical leave administration and absence management services, term life, dental, vision and accident, and critical illness benefits and services to the employer marketplace through various forms of employee-paid and employer-paid plans. The company distributes its products through consultants, brokers, planners, agents, financial advisors, third-party administrators, and other intermediaries. Lincoln National Corporation was founded in 1905 and is headquartered in Radnor, Pennsylvania.","https://logo.clearbit.com/lfg.com","0.01347","0.37347957","1.4","United States","Insurance—Life","6321141760","107.277","1.106","1.6","0.30491158","2.185328"
"FITB","Financial Services","11.203196","0.0196","4944746","5341250","","0.058","Fifth Third Bancorp operates as a diversified financial services company in the United States. The company's Commercial Banking segment offers credit intermediation, cash management, and financial services; lending and depository products; and cash management, foreign exchange and international trade finance, derivatives and capital markets services, asset-based lending, real estate finance, public finance, commercial leasing, and syndicated finance for business, government, and professional customers. Its Branch Banking segment provides a range of deposit and loan products to individuals and small businesses. This segment offers checking and savings accounts, home equity loans and lines of credit, credit cards, and loans for automobiles and personal financing needs, as well as cash management services for small businesses. The company's Consumer Lending segment engages in direct lending activities that include origination, retention, and servicing of residential mortgage and home equity loans or lines of credit; and indirect lending activities, including loans to consumers through correspondent lenders and automobile dealers. Fifth Third Bancorp's Wealth & Asset Management segment provides various investment alternatives for individuals, companies, and not-for-profit organizations. It offers retail brokerage services to individual clients; and broker dealer services to the institutional marketplace. This segment also provides asset management services; wealth planning, investment management, insurance, and trust and estate services; and advisory services for institutional clients. As of April 14, 2020, the company operated 1,149 banking centers and 2,481 ATMs in Ohio, Kentucky, Indiana, Michigan, Illinois, Florida, Tennessee, West Virginia, Georgia, and North Carolina. Fifth Third Bancorp has a strategic relationship with Trust & Will to provide savings on Will and Trust-based estate plans. The company was founded in 1858 and is headquartered in Cincinnati, Ohio.","https://logo.clearbit.com/53.com","0.23357001","2.397936","0.525","United States","Banks—Regional","15984641024","29.249","2.003","1.08","0.7672057","1.66685"
"NWL","Consumer Defensive","","0.0255","2014524","1475887","11.313","-0.133","Newell Brands Inc. designs, manufactures, sources, and distributes consumer and commercial products worldwide. The company operates through four segments: Appliances and Cookware, Food and Commercial, Home and Outdoor Living, and Learning and Development. The Appliances and Cookware segment offers household products, including kitchen appliances, gourmet cookware, bakeware, and cutlery under the Calphalon, Crock-Pot, Mr. Coffee, Oster, and Sunbeam brands. The Food and Commercial segment offers food storage and home storage products, and fresh preserving products, vacuum sealing products, commercial cleaning and maintenance solutions, hygiene systems, and material handling solutions under the Ball, FoodSaver, Rubbermaid, Sistema, Rubbermaid Commercial Products, Mapa, Quickie, and Spontex brands. The Home and Outdoor Living segment offers products for outdoor and outdoor-related activities, home fragrance, and connected home and security products under the Chesapeake Bay Candle, Coleman, Contigo, ExOfficio, First Alert, Marmot, WoodWick, and Yankee Candle brands. The Learning and Development segment offers writing instruments, including markers and highlighters, pens, and pencils; art products; activity-based adhesive and cutting products; labeling solutions; and baby gear and infant care products under the Aprica, Baby Jogger, Dymo, Elmer's, EXPO, Graco, Mr. Sketch, NUK, Paper Mate, Parker, Prismacolor, Sharpie, Tigex Waterman, and X-Acto brands. It markets its products to clubs, department stores, drug/grocery stores, mass merchants, specialty retailers, distributors and e-commerce companies, home centers, sporting goods retailers, warehouse clubs, office superstores and supply stores, contract stationers, and travel retail, as well as sells directly to consumers via on-line. Newell Brands Inc. was formerly known as Newell Rubbermaid Inc. and changed its name to Newell Brands Inc. in April 2016. The company was founded in 1903 and is based in Atlanta, Georgia.","https://logo.clearbit.com/newellbrands.com","-0.112449996","0.7691964","","United States","Household & Personal Products","7068837888","8.232","-2.44","0.92","2.0238094","0.977385"
"CCI","Real Estate","98.03125","0.010299999","1541181","2107900","29.643","-0.401","Crown Castle owns, operates and leases more than 40,000 cell towers and approximately 80,000 route miles of fiber supporting small cells and fiber solutions across every major U.S. market. This nationwide portfolio of communications infrastructure connects cities and communities to essential data, technology and wireless service - bringing information, ideas and innovations to the people and businesses that need them.","https://logo.clearbit.com/crowncastle.com","0.13095","11.710091","3.3803","United States","REIT—Specialty","67602354176","22.046","1.6","5.32","7.11467","0.308328"
